,0
0,6.22238815257e-06
1,0.0512014146894
2,0.00764446840355
3,0.118161030878
4,0.00484425282249
5,0.0154193923233
6,0.330110770454
7,6.22238815257e-06
8,0.15891712405
9,0.313689101604
10,8.56824608003e-06
11,8.56824608003e-06
12,0.00856489904235
13,0.860717424074
14,8.56824608003e-06
15,8.56824608003e-06
16,0.130657699161
17,8.56824608003e-06
18,8.56824608003e-06
19,8.56824608003e-06
20,6.2146541545e-06
21,0.00325055853531
22,6.2146541545e-06
23,0.990607572742
24,6.2146541545e-06
25,6.2146541545e-06
26,6.2146541545e-06
27,0.00609836614388
28,6.2146541545e-06
29,6.2146541545e-06
30,7.17823558969e-06
31,0.0204416893815
32,0.0350030262444
33,0.00103218527921
34,7.17823558969e-06
35,0.0835550037368
36,0.840722951337
37,0.01327646118
38,0.00592857696795
39,2.57494019272e-05
40,6.69747505191e-06
41,6.69747505191e-06
42,6.69747505191e-06
43,6.69747505191e-06
44,6.69747505191e-06
45,0.087129432721
46,0.842850785951
47,6.69747505191e-06
48,6.69747505191e-06
49,0.0699728990028
50,5.64620857094e-06
51,5.64620857094e-06
52,0.00693253047657
53,5.85080135369e-06
54,5.64620857094e-06
55,5.64620857094e-06
56,0.425058649783
57,5.64620857094e-06
58,9.48636966456e-06
59,0.567965251527
60,1.07169649555e-05
61,0.0102773533213
62,1.07169649555e-05
63,0.402382133265
64,1.07169649555e-05
65,0.00332189167127
66,0.398168242425
67,0.00154493318675
68,1.07169649555e-05
69,0.184262578271
70,7.0417576227e-06
71,7.0417576227e-06
72,7.0417576227e-06
73,0.668167479023
74,0.115157406038
75,0.048136471324
76,0.0604955286275
77,7.0417576227e-06
78,0.0248012157784
79,0.0832137321787
80,6.88657805936e-06
81,6.88657805936e-06
82,6.2438970253e-05
83,0.599248920881
84,6.88657805936e-06
85,6.88657805936e-06
86,0.270684915549
87,6.88657805936e-06
88,6.88657805936e-06
89,0.129962405131
90,3.99504614278e-06
91,3.99504614278e-06
92,0.0166364230213
93,0.771405627849
94,0.000338356703722
95,3.99504614278e-06
96,0.147455902077
97,3.99504614278e-06
98,3.99504614278e-06
99,0.0641437151184
100,4.9823127896e-06
101,4.9823127896e-06
102,0.0361374699333
103,0.00826263410814
104,4.9823127896e-06
105,0.00729110751691
106,0.0940817429098
107,4.9823127896e-06
108,0.588681065809
109,0.265526050472
110,6.79301677875e-06
111,0.0675639736467
112,6.79301677875e-06
113,6.79301677875e-06
114,6.79301677875e-06
115,6.79301677875e-06
116,0.930149675528
117,6.79301677875e-06
118,6.79301677875e-06
119,0.00223879970774
120,6.48466377018e-06
121,0.0206518251463
122,0.0799946169702
123,0.0144426403196
124,6.48466377018e-06
125,6.48466377018e-06
126,0.279881384518
127,0.0041421455677
128,6.48466377018e-06
129,0.600861448823
130,9.24983812783e-06
131,9.24983812783e-06
132,0.0335882340981
133,0.000218282396779
134,0.0133295194003
135,0.0071200106605
136,0.70317500989
137,9.24983812783e-06
138,9.24983812783e-06
139,0.242531944202
140,5.71722600194e-06
141,5.71722600194e-06
142,0.110923973305
143,0.75765437581
144,5.71722600194e-06
145,5.71722600194e-06
146,0.0241683198336
147,5.71722600194e-06
148,0.0169466950916
149,0.0902780498296
150,8.98391878537e-06
151,8.98391878537e-06
152,0.0178436196061
153,0.000993993184461
154,8.98391878537e-06
155,0.0475260818713
156,0.873859200048
157,0.0259271031487
158,0.0173864041756
159,0.0164366462098
160,0.0248952178767
161,6.92952671333e-06
162,6.92952671333e-06
163,6.92952671333e-06
164,6.92952671333e-06
165,7.31304613583e-06
166,0.266443057287
167,6.92952671333e-06
168,6.92952671333e-06
169,0.70861283463
170,5.56452061655e-06
171,5.56452061655e-06
172,5.56452061655e-06
173,0.998495998368
174,5.56452061655e-06
175,5.56452061655e-06
176,5.56452061655e-06
177,5.56452061655e-06
178,5.56452061655e-06
179,0.00145948546691
180,6.73355329607e-06
181,6.73355329607e-06
182,6.73355329607e-06
183,0.950261835668
184,6.73355329607e-06
185,6.73355329607e-06
186,0.0496842958545
187,6.73355329607e-06
188,6.73355329607e-06
189,6.73360449653e-06
190,5.27676639755e-06
191,0.3241028565
192,5.27676639755e-06
193,5.27687055447e-06
194,0.0148364191482
195,5.27676639755e-06
196,0.00388080955661
197,5.27676639755e-06
198,0.058564325776
199,0.598589205083
200,6.03463882687e-06
201,0.018089661255
202,0.00329264026131
203,0.00360083329292
204,0.387960023713
205,6.03463882687e-06
206,0.38191317914
207,0.0055357263733
208,6.03463882687e-06
209,0.199589832048
210,7.37408745668e-06
211,0.000947214388478
212,7.37408745668e-06
213,0.833118837693
214,7.37408745668e-06
215,7.37408745668e-06
216,0.160947363714
217,7.37408745668e-06
218,7.37408745668e-06
219,0.0049423396803
220,6.32071297642e-06
221,6.32071297642e-06
222,0.48824450813
223,6.32071334764e-06
224,6.32071297642e-06
225,0.0512166683056
226,0.366952640268
227,6.32071297642e-06
228,0.0727394027229
229,0.0208151770082
230,0.00830644146164
231,0.0121718205609
232,0.000183581332215
233,0.0216586544414
234,0.103689444326
235,6.2069393582e-06
236,0.710471485256
237,0.0328055488381
238,0.0993233194825
239,0.0113834973615
240,6.36902108146e-06
241,6.36902108146e-06
242,6.36902108146e-06
243,0.394463227824
244,6.36902108146e-06
245,6.36902108146e-06
246,0.569507417149
247,0.0359847718787
248,6.36902108146e-06
249,6.36902175341e-06
250,5.35303249291e-06
251,5.35303249291e-06
252,0.00741269256289
253,0.872004300075
254,0.00121145885762
255,5.35303249291e-06
256,0.00890997027459
257,5.35303249291e-06
258,0.000807727684314
259,0.109632438416
260,8.04440511624e-06
261,8.04440511624e-06
262,0.0043273772588
263,0.169249631313
264,0.0663028159453
