	1987	Topic7	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
0	0.0106072567329	data	0.0107352984966	0.0109549210311	0.0112180483412	0.0114127662092	0.01156448443	0.0116631090992	0.0117396183772	0.0117877239466	0.0117623660223	0.0116734332308	0.0115292207021	0.0114572032175	0.011418699298	0.0114266116684	0.0113842111455	0.0111496157111	0.0106845331983	0.0100850038972	0.00940520079272	0.00881882935353	0.00834526242326	0.00798272266625	0.00769882745883	0.00744577433805	0.00715941005668	0.00685548892879	0.00669300543281	0.00675081621015	0.00685559009352
1	0.00876510407711	learning	0.00857499350065	0.0081600144721	0.00756578642234	0.00691967694507	0.00630959554858	0.0057689295717	0.00531677673255	0.00496445436001	0.00472499622943	0.00459805083938	0.00456629085632	0.00463428664211	0.00476529678241	0.00492651562305	0.00509821698515	0.00525174489108	0.00538923457148	0.00554679012284	0.00568095977073	0.00573362358722	0.00563865679244	0.00540906450966	0.00510367631186	0.00476783577088	0.0044883245719	0.0043060687884	0.00420699100553	0.00418783364693	0.00418784691564
2	0.0076605323762	function	0.00758981381137	0.00742757818467	0.00717720077069	0.00688284202264	0.00659944415084	0.00638481942402	0.00625450380573	0.00618351892853	0.00614097201815	0.00612391105691	0.00612027552447	0.00612013389647	0.00615763652745	0.0062374919017	0.00631024925969	0.00637404936504	0.00642068401642	0.00646407221234	0.00650791980062	0.00652765865316	0.00649019318487	0.00632708968956	0.00606860075896	0.00580768824618	0.00566189880779	0.00572314751992	0.00600064411993	0.00641229708035	0.00673529813817
3	0.0071580197533	algorithm	0.00719705363972	0.00724126361252	0.00728031490184	0.00730045724381	0.00730078539964	0.0072791665819	0.00726914661834	0.00727610912927	0.0073090679689	0.00735031356117	0.00738413962124	0.00738335506975	0.0073744918267	0.00737826666396	0.0074032057012	0.00744790418479	0.00750812473379	0.00760213887523	0.00771907399008	0.00784244354172	0.00799607629289	0.00819640570072	0.00842582981275	0.00868119003357	0.00897809668807	0.00928849438905	0.00958571586805	0.00980444347019	0.00993519801649
4	0.00581776652025	error	0.00561590327476	0.00529252131993	0.00489900058488	0.00450664797774	0.0041612806253	0.00390818706132	0.00369136219638	0.00349118837777	0.00331500952655	0.00320318992734	0.00315082168668	0.00314673772791	0.00317401038383	0.00320395416234	0.00319383997053	0.003112126587	0.0029919206241	0.00289682984854	0.00280669881339	0.002754811286	0.00273651184536	0.00275944894952	0.00279535994916	0.00282395473016	0.00287840087704	0.00300109268038	0.00317850174223	0.0033310566893	0.00347995470134
5	0.00535646877051	using	0.00542544103264	0.00554577097227	0.00569943141852	0.00586042376981	0.00598222552418	0.00604211422446	0.00604866456306	0.00601974306499	0.00597226945574	0.00592015240292	0.00587275530182	0.005835719629	0.00580435492847	0.00577671342693	0.00575467890399	0.00573056300737	0.00568545704551	0.00558753652554	0.00544776791677	0.00529461533267	0.00514505336561	0.00501477022865	0.0048854813426	0.00474067446762	0.00460333273192	0.00448389853272	0.00438266242723	0.00432356124297	0.00430490282515
6	0.00489558292027	given	0.00491029803359	0.00492614554398	0.00494502062657	0.00495764997738	0.00494687456396	0.0049226353342	0.00488795923805	0.00485838095778	0.00482009556068	0.00474797534665	0.00462201044866	0.00447856578665	0.0043414004189	0.00425760568765	0.00421164123621	0.00419537807326	0.00419976497886	0.00420175126954	0.00419505583052	0.00417437915881	0.00414265366933	0.00409483810154	0.00401673754586	0.00390718404519	0.00379542148104	0.00371370705707	0.0036754773785	0.00367567716233	0.00368683458545
7	0.00444895681029	problem	0.00446521323196	0.0044808582583	0.00448746502994	0.00449571911373	0.00453061279666	0.00461572668821	0.00475821233777	0.00494770379846	0.00516301899635	0.00538739719712	0.00560669391259	0.00581502009943	0.00599447755307	0.0061062722989	0.00616714176124	0.00624226858617	0.00636405252752	0.00650238257177	0.00663160154472	0.00669792577642	0.0066468145674	0.00646039668034	0.0062252464144	0.00599663992937	0.00582105555546	0.00574089968761	0.00569390778568	0.005666990598	0.0056789518162
8	0.00381596411032	case	0.00384668862546	0.00388927924081	0.00394053806089	0.00398436053653	0.00398393407487	0.00393831923475	0.00385748129297	0.00376728400713	0.00367434322016	0.00359524506161	0.00353073798075	0.00349009931223	0.00345905520492	0.00343193887676	0.00341787995739	0.00342308447722	0.00345559547337	0.00349809565048	0.00351726349655	0.00348744809459	0.00341056921188	0.00330525294049	0.00319896622108	0.00313677780043	0.00311808446444	0.0031589079245	0.00324335227883	0.00333558945	0.00340424925078
9	0.00379811728107	results	0.0038169674668	0.00384158585363	0.00386211111845	0.00387607712365	0.00388357079786	0.00388346711107	0.00387261523635	0.00385592738344	0.00383284507419	0.00381110381505	0.00380777486802	0.00382689538459	0.00385531776586	0.00388553860406	0.00391256359286	0.00393230674571	0.00393595652319	0.00392115064892	0.0038820589052	0.00381569750539	0.00373756907022	0.00367084167576	0.00362303967084	0.00359853180966	0.00360417981077	0.00363119524433	0.00367561918093	0.00373595728227	0.00379189130205
10	0.00378627319426	matrix	0.00384324538639	0.00392965366919	0.00403439180129	0.00415681259599	0.00428990307567	0.00444079023335	0.00460642893099	0.00475385887485	0.00489049462514	0.00503066555701	0.00515809393518	0.00528630321222	0.00541239604239	0.00549395291562	0.00554838218617	0.00558512265496	0.0056336610135	0.00579805815139	0.00601386577004	0.00623952493687	0.0064719855325	0.0066789598991	0.00685674849532	0.00697609643256	0.00694611891878	0.00668940901783	0.00632929461444	0.00601539660749	0.00584714513616
